timestamp_est,anonymous_id,language,question,detected_language,roundtrip_translated_questions_0,roundtrip_translated_questions_1,paraphrased_0,paraphrased_1,paraphrased_2,paraphrased_3,paraphrased_4,paraphrased_5,paraphrased_6,paraphrased_7,paraphrased_8,paraphrased_9,paraphrased_10,paraphrased_11,paraphrased_12,paraphrased_13,paraphrased_14,paraphrased_15,paraphrased_16,paraphrased_17,paraphrased_18,paraphrased_19,paraphrased_20,paraphrased_21,paraphrased_22,paraphrased_23,paraphrased_24,paraphrased_25,paraphrased_26,paraphrased_27,paraphrased_28,paraphrased_29,paraphrased_30,paraphrased_31,paraphrased_32,paraphrased_33,paraphrased_34,paraphrased_35,paraphrased_36,paraphrased_37,paraphrased_38,paraphrased_39,paraphrased_40,paraphrased_41,paraphrased_42,paraphrased_43,paraphrased_44,paraphrased_45,paraphrased_46,paraphrased_47,paraphrased_48,paraphrased_49,paraphrased_50,paraphrased_51,paraphrased_52,paraphrased_53,paraphrased_54,paraphrased_55,paraphrased_56,paraphrased_57,paraphrased_58,paraphrased_59,paraphrased_60,paraphrased_61,paraphrased_62,paraphrased_63,paraphrased_64,paraphrased_65,paraphrased_66,paraphrased_67,paraphrased_68,paraphrased_69,paraphrased_70,paraphrased_71,paraphrased_72,paraphrased_73,paraphrased_74,paraphrased_75,paraphrased_76,paraphrased_77,paraphrased_78,paraphrased_79,paraphrased_80,paraphrased_81,paraphrased_82,paraphrased_83,paraphrased_84,paraphrased_85,paraphrased_86,paraphrased_87,paraphrased_88,paraphrased_89,paraphrased_90,paraphrased_91,paraphrased_92,paraphrased_93,paraphrased_94,paraphrased_95,paraphrased_96,paraphrased_97,paraphrased_98,paraphrased_99,paraphrased_100,paraphrased_101,paraphrased_102,paraphrased_103,paraphrased_104,paraphrased_105,paraphrased_106,paraphrased_107,paraphrased_108,paraphrased_109,paraphrased_110,paraphrased_111,paraphrased_112,paraphrased_113,paraphrased_114,paraphrased_115,paraphrased_116,paraphrased_117,paraphrased_118,paraphrased_119,paraphrased_120,paraphrased_121,paraphrased_122,paraphrased_123,paraphrased_124,paraphrased_125,paraphrased_126,paraphrased_127,paraphrased_128,paraphrased_129,paraphrased_130,paraphrased_131,paraphrased_132,paraphrased_133,paraphrased_134,paraphrased_135,paraphrased_136,paraphrased_137,paraphrased_138,paraphrased_139,paraphrased_140,paraphrased_141,paraphrased_142,paraphrased_143,paraphrased_144,paraphrased_145,paraphrased_146,paraphrased_147,paraphrased_148,paraphrased_149,paraphrased_150,paraphrased_151,paraphrased_152,paraphrased_153,paraphrased_154,paraphrased_155,paraphrased_156,paraphrased_157,paraphrased_158,paraphrased_159,paraphrased_160,paraphrased_161,paraphrased_162,paraphrased_163,paraphrased_164,paraphrased_165,paraphrased_166,paraphrased_167,paraphrased_168,paraphrased_169,paraphrased_170,paraphrased_171,paraphrased_172,paraphrased_173,paraphrased_174,paraphrased_175,paraphrased_176,paraphrased_177,paraphrased_178,paraphrased_179,paraphrased_180,paraphrased_181,paraphrased_182,paraphrased_183,paraphrased_184,paraphrased_185,paraphrased_186,paraphrased_187,paraphrased_188,paraphrased_189,paraphrased_190,paraphrased_191,paraphrased_192,paraphrased_193,paraphrased_194,paraphrased_195,paraphrased_196,paraphrased_197,paraphrased_198,paraphrased_199,paraphrased_200,paraphrased_201,paraphrased_202,paraphrased_203,paraphrased_204,paraphrased_205,paraphrased_206,paraphrased_207,paraphrased_208,paraphrased_209,paraphrased_210,paraphrased_211,paraphrased_212,paraphrased_213,paraphrased_214,paraphrased_215,paraphrased_216,paraphrased_217,paraphrased_218,paraphrased_219,paraphrased_220,paraphrased_221,paraphrased_222,paraphrased_223,paraphrased_224,paraphrased_225,paraphrased_226,paraphrased_227,paraphrased_228,paraphrased_229,paraphrased_230,paraphrased_231,paraphrased_232,paraphrased_233,paraphrased_234,paraphrased_235,paraphrased_236,paraphrased_237,paraphrased_238,paraphrased_239,paraphrased_240,paraphrased_241,paraphrased_242,paraphrased_243,paraphrased_244,paraphrased_245,paraphrased_246,paraphrased_247,paraphrased_248,paraphrased_249,paraphrased_250,paraphrased_251,paraphrased_252,paraphrased_253,paraphrased_254,paraphrased_255,paraphrased_256,paraphrased_257,paraphrased_258,paraphrased_259,paraphrased_260,paraphrased_261,paraphrased_262,paraphrased_263,paraphrased_264,paraphrased_265,paraphrased_266,paraphrased_267,paraphrased_268,paraphrased_269,paraphrased_270,paraphrased_271,paraphrased_272,paraphrased_273,paraphrased_274,paraphrased_275,paraphrased_276,paraphrased_277,paraphrased_278,paraphrased_279,paraphrased_280,paraphrased_281,paraphrased_282,paraphrased_283,paraphrased_284,paraphrased_285,paraphrased_286,paraphrased_287,paraphrased_288,paraphrased_289,paraphrased_290,paraphrased_291,paraphrased_292,paraphrased_293,paraphrased_294,paraphrased_295,paraphrased_296,paraphrased_297,paraphrased_298,paraphrased_299
2020-03-22 16:53:35,766e8a63-b4bf-4c18-9d61-19eaa16ae511,fr,Combien de personne sont infecté au Québec ?,fr,Combien de personne sont infecté au Québec ?,Combien de personnes sont infectées au Québec?,combien de personnes sont infectées au quebec,nombre de personne infectée au quebec,nombre d infectes au québec,Combien de personnes sont infectées au Québec?,nombre de personne infectée au québec,nombre de personnes infectée au quebec,nombre de personnes infectée au québec,combien de personnes sont infectées au québec,nombre d infectes au quebec,nombre de personne infecte au quebec,nombre de personnes infectées au quebec,nombre de personnes infectés au québec,Combien de personne sont infecté au Québec ?,nombre de personne infecté au quebec,nombre de personnes infectées au québec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-24 0:21:14,78a32350-0a45-4b2c-914a-f0eb28952619,fr,Ca fait tu mal?,fr,Ca fait tu mal?,Est-ce que ça fait mal,ca fait de mal,est ce que cela fait mal,est ce que ca fait du mal,ca fait mal,ça fait du mal,est ce que ca fait mal,Est-ce que ça fait mal,ca fais mal,sa fait mal,est ce que ça fait mal,Ca fait tu mal?,ça fais mal,ca fait tu mal,ca fait du mal,est ce que sa fait mal,ça fait mal,esque sa fait mal,ça fait tu mal,est ce que ça fait du mal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22 14:09:15,c87b2f05-65b0-4ea6-918c-8c9670c2d38f,en,dois je me présenter à l’urgence si j’ai des symptômes de rhume et de la fièvre ?,fr,dois-je aller aux urgences si j'ai des symptômes de rhume et de fièvre?,dois je me présenter à l’urgence si j’ai des symptômes de rhume et de la fièvre ?,dois je me presenter a l urgence si j ai des symptomes de rhume et de fievre,dois je me présenter à l urgence si j ai des signes de rhume et de fièvre,dois je me présenter à l urgence si j ai des symptomes de rhume et de fièvre,aller aux urgences si on a des symptomes de rhume et de fievre,dois je me présenter à l urgence si j ai des symptomes de rhume et de fievre,aller aux urgences quand on a des symptomes de rhume et de fievre,aller aux urgences si rhume,dois je aller aux urgences si j ai des symptomes de rhume et de fievre,dois-je aller aux urgences si j'ai des symptômes de rhume et de fièvre?,dois je me présenter à l urgence si j ai des symptômes de rhume et de fièvre,dois je me presenter à l urgence si j ai des symptomes de rhume et de fievre,peut on aller aux urgences si rhume,dois je me présenter a l urgence si j ai des symptomes de rhume et de fievre,aller aux urgences si j ai des symptomes de rhume et de fièvre,dois je me présenter à l urgence si j ai des symptômes de rhume et de fievre,peut on aller aux urgences si j ai des symptomes de rhume et de fievre,dois je me presenter à l urgence si j ai des symptomes de rhume et de fièvre,dois je aller au urgence si j ai des symptomes de rhume et de fievre,dois je me présenter à l’urgence si j’ai des symptômes de rhume et de la fièvre ?,aller aux urgences si j ai des symptomes de rhume et de fievre,dois je me presenter à l urgence si j ai des symptômes de rhume et de fièvre,aller aux urgences si j ai des symptômes de rhume et de fièvre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23 16:59:29,c8019428-f696-4ed5-91e4-5d89e6f5b3e2,en,How does coronavirus propagate?,en,How is coronavirus spread?,How does coronavirus propagate?,how is coronavirus propagate,how does coronavirus spread,How does coronavirus propagate?,coronavirus how is it spread,how does a coronavirus propagate,coronavirus propagate,how does the coronavirus propagate,how coronavirus is transmitted,propagate coronavirus,how do coronavirus propagate,coronavirus how is it transmitted,coronavirus propagation,how coronavirus is spread,how does coronavirus propagate,how does coronavirus propagation,how does the coronavirus propagation,How is coronavirus spread?,how is the coronavirus transmitted,how is coronavirus spread,how is coronavirus transmitted,how does the coronavirus spread,how is the coronavirus spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23 19:58:43,ea3de551-6dff-488c-83b8-3d096d85f95e,en,where can I help?,en,where can I help?,where can i help?,where can i go to help,where can you find help,where can i help?,where to find help,where can i get help,where can I help?,where can i get help from,where to get help,where can i find help,where can i go for help,where to go for help,where do i find help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22 9:31:00,9119c469-1ea8-4668-a36f-d11f39b5bc01,fr,La période d’incubation est de deux semaines mais qu’en est-il de la période de contagion?,fr,La période d’incubation est de deux semaines mais qu’en est-il de la période de contagion?,"La période d'incubation est de deux semaines, mais qu'en est-il de la période de contagion?",la phase d incubation est elle contagieuse,periode d incubation est elle contagieuse,est on contagieux pendant la periode d incubation,la période d incubation est elle contagieuse,phase d incubation est elle contagieuse,La période d’incubation est de deux semaines mais qu’en est-il de la période de contagion?,une periode d incubation est elle contagieuse,periode d incubation de la grippe est elle contagieuse,une période d incubation est elle contagieuse,la periode d incubation est elle contagieuse,"La période d'incubation est de deux semaines, mais qu'en est-il de la période de contagion?",période d incubation est elle contagieuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22 20:23:26,7671d78f-dd94-43b2-adc1-7cc74066da67,en,how many people positive result with COVID-19,en,how many people positive result with COVID-19,how many people test positive with COVID-19,how many people tested positive after covid 19,how many people positive covid 19,how many people result from covid 19,how many people tested positive with the covid 19,how many people test positive with covid 19,covid 19 how many people positive,how many people tested positive by covid 19,how many people positive result with COVID-19,how many people test positive by covid 19,how many people have positive covid 19,how many people with positive result with covid 19,how many people have tested positive with covid 19,how many people tested positive on covid 19,how many people test positive with COVID-19,how many people tested positive for covid 19,how many people positive with covid 19,how many people have positive result with covid 19,how many people positive result with covid 19,how many people tested positive with covid 19,how many people test positive for covid 19,how many people positive in covid 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-21 11:32:10,470bcaef-ae5a-45ad-a380-b79ad65d42b8,en,How often should i take my temperature?,en,How often should I take my temperature?,How often should i take my temperature?,how often take temperature,how often should you take a temperature,How often should I take my temperature?,how often to take temperature,how often should you take your temperature,how often should you take temperature,how often should we take temperature,how often should i take my temperature,how often do you take your temperature,How often should i take my temperature?,how often should i take temperature,how often should take temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22 18:38:09,352ad638-846c-430b-97b8-83a92a3264dd,en,how many cases are there in Washington state,en,how many cases are there in Washington state,,how many cases are there in the state of washington,how many cases are there in washington state,how many court cases are there in washington state,how many cases in the state of washington,how many cases are there in washington,how many cases are there in Washington state,how many cases does washington state have,how many cases does washington have,how many cases in washington state,how many cases are in washington state,number of cases in washington state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23 19:35:55,ce581c61-3f83-44f2-8244-7deb7c8c59ae,fr,Quels sont les symptômes?,fr,Quels sont les symptômes?,,tous les symptomes,quel symptome,qu elles sont les symptômes,quel sont les symptômes de la maladie,qu elles sont les symptomes,quel sont les symptome,quels sont les symptômes de la maladie,qu elle sont les symptome,quelle sont les symptomes,Quels sont les symptômes?,quelle sont les symptome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22 11:56:16,02909506-2fad-4062-bce6-cb73b87115a9,en,What is the advice surrounding outdoor exercise/sport?,en,What is the advice surrounding outdoor exercise/sport?,What are the tips for exercise / outdoor sport?,how to exercise outdoor sports,tips for exercising outside,what is the outdoor exercise sport,advice outside outdoor sports,outdoor sports exercises tips,what is the advice outside outdoor exercise sport,What are the tips for exercise / outdoor sport?,what is the advice surrounding outdoor exercise,advice outside exercise sport,What is the advice surrounding outdoor exercise/sport?,what is the advice surrounding outdoor exercise sport,tips for exercising outdoors,advice outside outdoor sport,exercise outside sports tips,advice outdoor outdoor sports,advice outside outdoor exercise sport,exercise tips for outdoor sports,outdoor sport exercise tips,outdoor sports exercise tips,exercise outdoor sports tips,what is the outside exercise sport,exercise for outdoor sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22 8:45:03,e083791c-a371-4f14-85f9-c2b3f490d91a,fr,"Un collègue de mon conjoint a été testé positif, est-ce possible que je développe des symptômes de la maladie avant mon conjoint, bien que je n’aille eu aucun contact avec son collègue. ",fr,"Un collègue de mon conjoint a été testé positif, est-ce possible que je développe des symptômes de la maladie avant mon conjoint, bien que je n’aille eu aucun contact avec son collègue. ","Un collègue de mon conjoint a été testé positif, est-il possible que je développe des symptômes de la maladie avant mon conjoint, même si je n'ai eu aucun contact avec son collègue.",un collègue de votre conjoint a été testé positif mais j ai eu aucun rapport avec mon collègue,un collegue de mon conjoint a été testé positif mais j aille eu aucun contact avec mon collègue,un collègue de mon conjoint a été testé positif que j aille eu aucun contact avec mon collègue,un collegue de mon conjoint a ete testé positif que j aille eu aucun contact avec mon collegue,un collegue de mon conjoint a été testé positif mais j ai eu aucun rapport avec mon collègue,un collegue de mon conjoint a ete testé positif mais j ai eu aucun rapport avec mon collegue,un collegue de mon conjoint a été testé positif mais j ai eu aucun contact avec mon collègue,un collegue de mon conjoint a ete testé positif mais j aille eu aucun contact avec mon collegue,un collegue de mon conjoint a ete testé positif mais j aille eu aucun contact avec son collegue,un collègue de mon conjoint a été testé positif mais j ai eu aucun rapport avec mon collègue,un collegue de mon conjoint a ete testé positif mais j ai eu aucun contact avec mon collegue,un collègue de mon conjoint a été testé positif que j aille eu aucun contact avec son collègue,un collegue de mon mari a été testé positif mais j ai eu aucun rapport avec mon collègue,"Un collègue de mon conjoint a été testé positif, est-ce possible que je développe des symptômes de la maladie avant mon conjoint, bien que je n’aille eu aucun contact avec son collègue. ",un collègue de mon conjoint a été testé positif mais j aille eu aucun contact avec mon collègue,un collegue de mon conjoint a ete testé positif que j aille eu aucun contact avec son collegue,un collègue de mon conjoint a été testé positif mais j ai eu aucun contact avec mon collègue,un collegue de mon mari a ete testé positif mais j ai eu aucun contact avec mon collegue,un collègue de mon conjoint a été testé positif mais j aille eu aucun contact avec son collègue,un collegue de mon mari a ete testé positif mais j ai eu aucun rapport avec mon collegue,un collegue de mon mari a ete testé positif mais j aille eu aucun contact avec mon collegue,"Un collègue de mon conjoint a été testé positif, est-il possible que je développe des symptômes de la maladie avant mon conjoint, même si je n'ai eu aucun contact avec son collègue.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-21 22:22:58,d9df507b-3d73-4a7c-bff8-d2fd90664e34,fr,Quel est le % de la population touchée par chaque province au Canada?,fr,Quel est le% de la population touchée par chaque province au Canada?,Quel est le % de la population touchée par chaque province au Canada?,quelle est le pourcentage de population touchée par province au canada,quel est le nombre de population touche par province au canada,quel est le pourcentage de population touché par province au canada,quelle est la population touche par province au canada,Quel est le% de la population touchée par chaque province au Canada?,quelle est le pourcentage de population touché par province au canada,quel est le nombre de population au canada,quel est la population touchée par province au canada,quel est le pourcentage de la population touche par province au canada,quel est la population touché par le canada,quelle est la population touché par province au canada,quel est le pourcentage de la population touchée par province au canada,quel est le pourcentage de la population touchee par province au canada,population touchée par province au canada,quelle est le pourcentage de la population touchée par province au canada,quel est le pourcentage de population touche par province au canada,quel est le pourcentage de population touchée par province au canada,quel est le nombre de population touchée par province au canada,quelle est la population touché par le canada,Quel est le % de la population touchée par chaque province au Canada?,quel est le pourcentage de la population touché par province au canada,quelle est la population touchée par province au canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22 7:16:09,f903961b-07f4-43cb-ba48-394227a97314,en,Est-ce que les frais de garde nous seront repris plus tard comme nous nenvoyons plus nos enfants à la garderie,fr,"Les frais de garde nous seront-ils repris plus tard, car nous n'envoyons plus nos enfants à la garderie",Est-ce que les frais de garde nous seront repris plus tard comme nous nenvoyons plus nos enfants à la garderie,les frais de garde sont plus tard comme nous nenvoyons plus nos enfants à la garderie,les frais de garde nous seront ils repris plus tard car nous n envoyons plus nos enfants à la garderie,les frais de garde nous sommes plus tard comme nous nenvoyons plus nos enfants a la garderie,est ce que les frais de garde nous garderont plus tard comme nous nenvoyons plus nos enfants a la garderie,les frais de garde nous repront plus tard car nous n envoyons plus nos enfants a la garderie,les frais de garde nous garderont plus tard car nous n envoyons plus nos enfants a la garderie,"Les frais de garde nous seront-ils repris plus tard, car nous n'envoyons plus nos enfants à la garderie",les frais de garde nous les repons plus tard car nous n envoyons plus nos enfants à la garderie,les frais de garde nous correspondront plus tard car nous n envoyons plus nos enfants à la garderie,les frais de garde nous ont repris plus tard car nous n envoyons plus nos enfants à la garderie,est ce les frais de garde plus tard comme nous nenvoyons plus nos enfants a la garderie,est ce que les frais de garde sont plus tard comme nous nenvoyons plus nos enfants a la garderie,Est-ce que les frais de garde nous seront repris plus tard comme nous nenvoyons plus nos enfants à la garderie,est ce que les frais de garde sont plus tard comme nous nenvoyons plus nos enfants à la garderie,les frais de garde nous garderont plus tard comme nous nenvoyons plus nos enfants à la garderie,est ce que les frais de garde nous garderont plus tard comme nous nenvoyons plus nos enfants à la garderie,les frais de garde nous garderont plus tard car nous n envoyons plus nos enfants à la garderie,les frais de garde nous garderront plus tard car nous n envoyons plus nos enfants à la garderie,est ce les frais de garde plus tard comme nous nenvoyons plus nos enfants à la garderie,les frais de garde nous laissent plus tard car nous n envoyons plus nos enfants à la garderie,les frais de garde nous sommes plus tard comme nous nenvoyons plus nos enfants à la garderie,les frais de garde nous repront plus tard car nous n envoyons plus nos enfants à la garderie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22 12:12:38,93538e2e-7e9f-44d1-9acc-722fad476a21,fr,Combien de temps avant que les symptômes apparaissent?,fr,Combien de temps avant l'apparition des symptômes?,Combien de temps avant que les symptômes apparaissent?,au bout de combien de temps on a des symptomes de grossesse,au bout de combien de temps les symptômes de grossesse apparaissent,au bout de combien de temps les symptome de grossesse arrive,apres combien de temps apparaissent les symptomes de grossesse,au bout de combien de temps apparaisse les symptomes de grossesse,au bout de combien de temps apparaissent les symptome de grossesse,combien de temps avant les premiers symptomes de grossesse,Combien de temps avant l'apparition des symptômes?,au bout de combien de temps les symptome arrive,combien de temps avant d avoir des symptômes,Combien de temps avant que les symptômes apparaissent?,au bout de combien de temps les symptome de grossesse apparaisse,combien de temps avant les premier signe de grossesse,au bout de combien de temps les signes de grossesse arrivent,au bout de combien de temps les symptomes de grossesse arrivent,après combien de temps apparaissent les symptomes de grossesse,au bout de combien de temps les symptome de grossesse arrivent,au bout de combien de temps les symptomes d une grossesse arrivent,combien de temps avant d avoir des symptomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22 16:15:50,2f390640-42dc-423e-9387-c5253b340a4b,fr,Quelles sont les symptômes de la covid-19,fr,Quelles sont les symptômes de la covid-19,Quels sont les symptômes de Covid-19,quels sont les symptomes de covid,symptomes de covid 19,symptômes de covid 19,symptomes de la covid 19,les symptomes de la covid,quel sont les symptômes de la covid,quels sont les symptomes de covid 19,quel sont les signes de la covid,signes de covid 19,quels sont les symptomes de la covid 19,Quelles sont les symptômes de la covid-19,quel sont les symptômes de covid,quels sont les symptomes de la covid,quels sont les symptômes de la covid,quels sont les signes de covid,quels sont les signes de la covid,quel sont les signes de covid,quels sont les symptômes de covid 19,symptômes de la covid 19,quels sont les symptômes de covid,signes de la covid 19,Quels sont les symptômes de Covid-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
